place,landed,filled
Bangalore,0.0,17178
Chennai,0.0,11916
Dehradun,0.0,19461
Indore,0.0,110667
Pune,0.0,46033
Bangalore,0.0,24229
Chennai,0.0,18502
Dehradun,0.0,24363
Indore,0.0,165036
Pune,0.0,101317
Bangalore,0.0,6900
Chennai,0.0,5606
Dehradun,0.0,8459
Indore,0.0,39296
Pune,0.0,20223
Bangalore,112869.0,33382
Chennai,110397.0,29031
Dehradun,156487.0,39804
Indore,1176804.0,373155
Pune,383260.0,122285
Bangalore,268286.0,44999
Chennai,292128.0,32140
Dehradun,401292.0,36016
Indore,1670668.0,339970
Pune,1748075.0,225823
Bangalore,58172.0,8769
Chennai,80384.0,8832
Dehradun,101453.0,10064
Indore,494447.0,88331
Pune,235955.0,30731
Bangalore,0.0,13257
Chennai,0.0,5405
Dehradun,0.0,13345
Indore,0.0,59088
Pune,0.0,40931
Bangalore,0.0,22628
Chennai,0.0,10055
Dehradun,0.0,14367
Indore,0.0,92895
Pune,0.0,83552
Bangalore,0.0,3919
Chennai,0.0,2272
Dehradun,0.0,4463
Indore,0.0,17261
Pune,0.0,10397
Bangalore,136378.0,33445
Chennai,100254.0,21402
Dehradun,190340.0,40949
Indore,1276745.0,317619
Pune,480675.0,135275
Bangalore,416106.0,30993
Chennai,286353.0,25203
Dehradun,427530.0,19984
Indore,2160270.0,249974
Pune,1646707.0,182292
Bangalore,52157.0,4390
Chennai,50889.0,5024
Dehradun,58247.0,6334
Indore,507337.0,57549
Pune,221607.0,22624
Bangalore,0.0,14196
Chennai,0.0,9671
Dehradun,0.0,15551
Indore,0.0,80299
Pune,0.0,36538
Bangalore,0.0,20261
Chennai,0.0,15062
Dehradun,0.0,19025
Indore,0.0,124359
Pune,0.0,82153
Bangalore,0.0,5672
Chennai,0.0,4181
Dehradun,0.0,6179
Indore,0.0,31589
Pune,0.0,16829
Bangalore,98574.0,26296
Chennai,95163.0,23332
Dehradun,131647.0,31260
Indore,942288.0,278204
Pune,321335.0,92966
Bangalore,364294.0,22686
Chennai,320485.0,18720
Dehradun,475516.0,26130
Indore,1737247.0,223838
Pune,1711902.0,163043
Bangalore,53580.0,4973
Chennai,65572.0,6415
Dehradun,86951.0,7839
Indore,419241.0,73850
Pune,193398.0,24065
Bangalore,0.0,11314
